ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
661	"PffBT-T3((1,2)-1"	S264	10.00 	9.70 	0.820 	18.500 	0.641 	129.0 	72.2 	1.79 	1759	5.31 	3.68 	1.63 	FC(C(F)=C(C1=CC(CC(CCCCCC)CCCCCCCC)=C(C2=CC(CC(CCCCCCCC)CCCCCC)=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S2)S1)C7=NSN=C78)=C8C9=CC(CC(CCCCCC)CCCCCCCC)=C(C%10=CC(CC(CCCCCC)CCCCCCCC)=C(C)S%10)S9
662	"PffBT-T3(1,2)-2"	S264	10.70 	10.50 	0.820 	18.700 	0.683 	109.6 	66.1 	1.66 	1731	5.31 	3.68 	1.63 	FC(C(F)=C(C1=CC(CC(CCCCCC)CCCCCCCC)=C(C2=CC(CC(CCCCCCC)CCCCCC)=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S2)S1)C7=NSN=C78)=C8C9=CC(CC(CCCCCC)CCCCCCCC)=C(C%10=CC(CC(CCCCCC)CCCCCCC)=C(C)S%10)S9
663	PffBT-T2	S264	4.50 	4.30 	0.880 	10.100 	0.486 	98.0 	58.4 	1.68 	1539	5.38 	3.77 	1.61 	CC1=C(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S3)C8=NSN=C82)S1
664	EC12-DT	S265	6.59 	5.75 	0.861 	13.300 	0.575 	69.0 	33.0 	2.10 	1799	5.51 	3.80 	1.71 	CC(S1)=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C6=CC(CCCCCCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
665	EC12-OD	S265	3.63 	3.57 	0.873 	7.370 	0.564 	98.0 	58.0 	1.70 	1687	5.50 	3.77 	1.73 	CC(S1)=C(CC(CCCCCCCC)CCCCCCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C6=CC(CCCCCCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
666	EHD-HD	S265	2.53 	2.41 	0.931 	4.320 	0.629 	48.0 	34.0 	1.40 	1687	5.57 	3.85 	1.72 	CC(S1)=C(CC(CCCCCCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCCCCCC)=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCCCCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
667	EHD-BO	S265	3.70 	3.42 	0.811 	9.300 	0.491 	66.0 	51.0 	1.30 	1575	5.45 	3.76 	1.69 	CC(S1)=C(CC(CCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCC)=C(C6=CC(CC(CCCCCC)CCCCCCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCCCCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
668	EBO-BO	S265	3.09 	2.93 	0.834 	8.610 	0.430 	33.0 	25.0 	1.40 	1463	5.44 	3.76 	1.68 	CC(S1)=C(CC(CCCC)CCCCCC)C=C1C2=CC3=C(C4=NSN=C42)C=C(C5=CC(CC(CCCCCC)CCCC)=C(C6=CC(CC(CCCCCC)CCCC)=C(C7=NC8=CC9=C(N=C(C%10=C(CC(CCCC)CCCCCC)C=C(C)S%10)S9)C=C8S7)S6)S5)C%11=NSN=C3%11
669	PT-ID1	S266	0.92 	0.92 	0.870 	1.760 	0.600 	36.1 	17.2 	2.10 	933	5.49 	3.91 	1.58 	CC1=CC=C(/C(C(N2CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)/C4=C3C=C(C=C4)C5=CC=C(C)S5)C2=C1
670	PTT-ID1	S266	1.74 	1.74 	0.840 	3.900 	0.530 	127.8 	37.6 	3.40 	989	5.43 	3.88 	1.55 	CC1=CC=C(/C(C(N2CC(CCCCCCCC)CCCCCCCCCC)=O)=C(C(N3CC(CCCCCCCCCC)CCCCCCCC)=O)/C4=C3C=C(C=C4)C5=CC(SC(C)=C6)=C6S5)C2=C1
671	PBDT-ID	S266	1.91 	1.91 	0.710 	7.930 	0.340 	32.6 	21.9 	1.50 	959	5.20 	3.66 	1.54 	CC1=CC2=C(OCC(CC)CCCC)C(S3)=C(C(OCC(CC)CCCC)=C2S1)C=C3C4=CC5=C(/C(C(N5CC(CC)CCCC)=O)=C6C(N(CC(CCCC)CC)C7=CC(C)=CC=C7\6)=O)C=C4
672	PBDT?IBTI	S267	6.41 	6.41 	0.770 	11.710 	0.710 	115.8 	43.5 	2.67 	1485	5.24 	3.72 	1.71 	CC1=CC2=C(OCC(CC)CCCC)C(S3)=C(C(OCC(CCCC)CC)=C2S1)C=C3C4=CC=C(/C(C(N5CC(CCCCCCCCCC)CCCCCCCC)=O)=C/C6=CC=C(C7=CC=C(/C=C8C(C=CC(C)=C9)=C9N(CC(CCCCCCCCCC)CCCCCCCC)C/8=O)S7)S6)C5=C4
673	PMIM	S268	1.64 	1.50 	0.730 	6.240 	0.360 	42.2 	20.1 	2.10 	931	5.93 	3.84 	1.53 	O=C(N1CC(CCCCCCCC)CCCCCC)/C(C2=C1C=C(C)C=C2)=C3C(N(CC(CCCCCC)CCCCCCCC)C4=CC(C5=CC(C)=C(C6=C(C)C=C(C)S6)S5)=CC=C4/3)=O
