ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
235	BTI-BDT	S96	4.39 	4.39 	0.880 	9.690 	0.518 	71.5 	21.8 	3.28 	875	5.41 	2.30 	1.93 	CC1=CC2=C(OCC(CCCC)CC)C(S3)=C(C(OCC(CCCC)CC)=C2S1)C=C3C4=CC(C(N(CC(CCCCCC)CCCC)C5=O)=O)=C(S4)C6=C5C=C(C)S6
236	BTI-BDT(2)	S96	5.50 	5.50 	0.920 	9.620 	0.620 	100.3 	34.0 	2.95 	1044	5.39 	2.54 	1.93 	CC1=CC2=C(OCCCCCCCCCCCC)C(S3)=C(C(OCCCCCCCCCCCC)=C2S1)C=C3C4=CC(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=O)=C(S4)C6=C5C=C(C)S6
237	‚s‚s1	S97	0.60 	0.60 	0.560 	2.830 	0.380 	32.0 	18.8 	1.70 	1385	5.35 	3.94 	1.41 	CC1=CC(CCCCCCCCCCCC)=C(C2=NC(SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C5C(N(CC(CCCCCCCC)CCCCCC)C(/C5=C6C(SC(C)=C7)=C7N(CC(CCCCCC)CCCCCCCC)C\6=O)=O)=C4)S3)=N8)=C8S2)S1
238	TT2	S97	3.40 	3.40 	0.580 	8.540 	0.690 	127.0 	36.3 	3.50 	1885	5.43 	3.98 	1.45 	CC1=CC(CCCCCCCCCCCC)=C(C2=NC(SC(C3=C(CCCCCCCCCCCC)C=C(C4=C(CCCCCCCCCCCC)C=C(C5=CC=C6C(N(CC(CCCCCCCC)CCCCCC)C(/C6=C7C(SC(C8=CC(CCCCCCCCCCCC)=C(C)S8)=C9)=C9N(CC(CCCCCC)CCCCCCCC)C\7=O)=O)=C5)S4)S3)=N%10)=C%10S2)S1
239	BT1	S97	3.29 	3.29 	0.730 	6.720 	0.670 	142.0 	67.6 	2.10 	1435	5.50 	3.98 	1.52 	CC1=CC(CCCCCCCCCCCC)=C(C2=NC(C=C(SC(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C5C(N(CC(CCCCCCCC)CCCCCC)C(/C5=C6C(SC(C)=C7)=C7N(CC(CCCCCC)CCCCCCCC)C\6=O)=O)=C4)S3)=N8)C8=C9)=C9S2)S1
240	BT2	S97	4.18 	4.18 	0.620 	10.070 	0.670 	231.0 	59.2 	3.90 	1935	5.41 	3.92 	1.49 	CC1=CC(CCCCCCCCCCCC)=C(C2=NC(C=C(SC(C3=C(CCCCCCCCCCCC)C=C(C4=C(CCCCCCCCCCCC)C=C(C5=CC=C6C(N(CC(CCCCCCCC)CCCCCC)C(/C6=C7C(SC(C8=CC(CCCCCCCCCCCC)=C(C)S8)=C9)=C9N(CC(CCCCCC)CCCCCCCC)C\7=O)=O)=C5)S4)S3)=N%10)C%10=C%11)=C%11S2)S1
241	IP1	S98	0.51 	0.51 	0.390 	3.260 	0.400 	88.3 	40.1 	2.20 	970	4.90 	3.80 	1.10 	O=C(N1CC(CCCC)CC)/C(C2=C1C=C(C)S2)=C3C(N(CC(CC)CCCC)C4=C/3SC(C5=CC6=C(OCC(CCCC)CC)C7=C(C=C(C)S7)C(OCC(CCCC)CC)=C6S5)=C4)=O
242	IP2	S98	0.27 	0.27 	0.300 	1.730 	0.520 	14.9 	8.8 	1.70 	926	4.80 	3.80 	1.00 	O=C(N1CC(CCCC)CC)/C(C2=C1C=C(C)S2)=C3C(N(CC(CC)CCCC)C4=C/3SC(C5=CC6=C(C(SC(C)=C7)=C7C6(CC(CCCC)CC)CC(CCCC)CC)S5)=C4)=O
243	IP3	S98	1.30 	1.30 	0.730 	3.220 	0.530 	23.9 	10.4 	2.30 	915	5.40 	3.80 	1.60 	O=C(N1CC(CCCC)CC)/C(C2=C1C=C(C)S2)=C3C(N(CC(CC)CCCC)C4=C/3SC(C5=CC(C(CCCCCCCC)(CCCCCCCC)C6=CC(C)=CC=C67)=C7C=C5)=C4)=O
244	IsoC6	S99	5.20 	5.10 	0.690 	12.300 	0.580 	207.0 	80.0 	2.60 	1153	5.58 	3.93 	1.57 	CC1=CC(CCCCCC)=C(C2=CC=C(C3=C(CCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
245	IsoC8	S99	5.60 	5.20 	0.700 	12.700 	0.570 	146.0 	70.0 	2.10 	1209	5.58 	3.90 	1.57 	CC1=CC(CCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
246	IsoC10	S99	4.20 	4.10 	0.630 	11.600 	0.540 	126.0 	61.0 	2.10 	1265	5.60 	4.06 	1.55 	CC1=CC(CCCCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
247	IsoC12	S99	4.10 	4.00 	0.660 	11.300 	0.520 	125.0 	65.0 	1.90 	1321	5.55 	3.84 	1.58 	CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
248	IsoC12	S99	4.10 	4.00 	0.690 	11.000 	0.510 	103.0 	41.0 	2.50 	1321	5.55 	3.89 	1.58 	CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
249	Iso2EH	S99	0.30 	0.30 	0.880 	0.800 	0.580 	126.0 	53.0 	2.40 	1209	5.81 	3.93 	1.60 	CC1=CC(CC(CCCC)CC)=C(C2=CC=C(C3=C(CC(CCCC)CC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
250	PNDTI-T	S100	1.23 	1.20 	0.560 	4.800 	0.460 	26.1 	13.8 	1.90 	1161	5.80 	4.00 	1.40 	O=C(C1=C2C(C3=C(C=C(C4=CC=C(C)S4)S5)C5=C26)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)=O)C7=C1C=C(C)S7)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C6=O
251	PNDTI-TT	S100	2.07 	2.00 	0.620 	6.400 	0.500 	48.9 	19.0 	2.60 	1217	5.70 	4.10 	1.30 	O=C(C1=C2C(C3=C(C=C(C4=CC5=C(C=C(C)S5)S4)S6)C6=C27)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)=O)C8=C1C=C(C)S8)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=O
252	PNDTI-DTT	S100	3.28 	3.20 	0.660 	9.600 	0.510 	68.5 	28.7 	2.40 	1273	5.60 	4.00 	1.30 	O=C(C1=C2C(C3=C(C=C(C4=CC5=C(C(SC(C)=C6)=C6S5)S4)S7)C7=C28)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)=O)C9=C1C=C(C)S9)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C8=O
253	PNDTI-BT	S100	2.60 	2.60 	0.660 	8.100 	0.490 	90.4 	27.4 	3.30 	1243	5.60 	4.10 	1.30 	O=C(C1=C2C(C3=C(C=C(C4=CC=C(C5=CC=C(C)S5)S4)S6)C6=C27)=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C3=O)=O)C8=C1C=C(C)S8)N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=O
254	PBDTT-TT	S101	7.42 	7.35 	0.770 	14.990 	0.639 	132.1 	95.0 	1.39 	918	5.30 	3.17 	1.58 	CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7
255	PBDTT-O-TT	S101	7.10 	7.01 	0.730 	15.170 	0.644 	118.6 	78.0 	1.52 	950	5.18 	3.15 	1.53 	CC(S1)=CC2=C1C(C3=CC=C(OCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(OCC(CCCC)CC)S7
256	PBDTT-S-TT	S101	8.42 	8.35 	0.840 	15.320 	0.655 	172.3 	118.0 	1.46 	982	5.41 	3.27 	1.57 	CC(S1)=CC2=C1C(C3=CC=C(SCC(CC)CCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CCCC)CC)S7
257	PBDT-TS1	S102	9.48 	9.19 	0.800 	17.370 	0.661 	64.9 	29.4 	2.21 	982	5.33 	3.52 	1.51 	CC(S1)=CC2=C1C(C3=CC=C(SCCCCCCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CC)CCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCCCCCCCC)S7
258	PBTz4T	S103	2.60 	2.60 	0.740 	5.600 	0.630 	114.0 	36.1 	3.20 	1053	5.07 	3.53 	1.65 	CC1=CC=C(C2=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C3=CC=C(C4=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C5=CC=C(C)S5)S4)C6=NSN=C63)S2)S1
259	PNNT12HD	S104	8.20 	8.00 	0.820 	15.600 	0.640 	88.9 	36.0 	2.47 	1459	5.22 	3.54 	1.68 	CC(S1)=C(CC(CCCCCCCC)CCCCCC)C=C1C2=CC(C3=NSN=C34)=C(C5=NSN=C52)C=C4C6=CC(CC(CCCCCC)CCCCCCCC)=C(S6)C7=CC8=C(C9=CC(CCCCCCCCCCCC)=C(C=C(C)S%10)C%10=C9C=C8CCCCCCCCCCCC)S7
260	PNNT12DT	S104	4.10 	4.00 	0.860 	7.300 	0.650 	139.0 	46.1 	3.02 	1683	5.22 	3.54 	1.69 	CC(S1)=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C1C2=CC(C3=NSN=C34)=C(C5=NSN=C52)C=C4C6=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S6)C7=CC8=C(C9=CC(CCCCCCCCCCCC)=C(C=C(C)S%10)C%10=C9C=C8CCCCCCCCCCCC)S7
261	PNNTDT	S104	5.50 	5.20 	0.830 	12.300 	0.540 	310.0 	31.0 	10.00 	1347	5.25 	3.54 	1.64 	CC(S1)=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C1C2=CC(C3=NSN=C34)=C(C5=NSN=C52)C=C4C6=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(S6)C7=CC8=C(C9=CC=C(C=C(C)S%10)C%10=C9C=C8)S7
262	PNDT3BTz-DT	S105	3.80 	3.80 	0.700 	8.400 	0.640 	54.5 	30.3 	1.80 	1239	5.15 	3.45 	1.70 	CC1=CC2=CC=C(C(C=C3)=C2S1)C4=C3C=C(S4)C5=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C6=CC=C(C7=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C)S7)C8=NSN=C68)S5
263	PNDT3NTz-DT	S105	4.90 	4.90 	0.830 	11.300 	0.520 	310.0 	31.0 	10.00 	1347	5.25 	3.65 	1.60 	CC1=CC2=CC=C(C(C=C3)=C2S1)C4=C3C=C(S4)C5=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C6=CC(C7=NSN=C7C(C8=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C)S8)=C9)=C9C%10=NSN=C6%10)S5
264	PNTz4TF2	S106	10.50 	10.10 	0.820 	19.300 	0.670 	1520.0 	66.5 	22.90 	1309	5.38 	3.53 	1.60 	CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=CC(C3=NSN=C3C(C4=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C5=CC(F)=C(C6=C(F)C=C(C)S6)S5)S4)=C7)=C7C8=NSN=C82)S1
265	PNTz4TF4	S106	6.50 	5.90 	0.930 	10.500 	0.660 	34.1 	15.8 	2.16 	1345	5.49 	3.56 	1.62 	CC1=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C2=CC(C3=NSN=C3C(C4=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C5=C(F)C(F)=C(C6=C(F)C(F)=C(C)S6)S5)S4)=C7)=C7C8=NSN=C82)S1
266	PBDT-DTBT	S107	2.11 	2.11 	1.000 	5.800 	0.346 	130.0 	40.5 	3.20 	1409	5.26 	3.10 	1.73 	CC(S1)=CC2=C1C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCC)C=C(C5=CC=C(C6=CC(CCCCCC)=C(C)S6)C7=NSN=C57)S4)S8)C8=C2C9=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S9
267	PBDT-DTNT	S107	6.00 	6.00 	0.800 	11.710 	0.610 	59.3 	24.1 	2.46 	1517	5.19 	3.26 	1.58 	CC(S1)=CC2=C1C(C3=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S3)=C(C=C(C4=C(CCCCCC)C=C(C5=CC6=C(C=C(C7=CC(CCCCCC)=C(C)S7)C8=NSN=C86)C9=NSN=C59)S4)S%10)C%10=C2C%11=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%11
268	PTzNTz-EHBO	S108	9.00 	8.70 	0.840 	16.000 	0.670 	64.3 	32.7 	2.00 	1301	5.41 	3.45 	1.58 	CC1=CC(CC(CCCC)CC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC(C6=NSN=C6C(C7=CC(CC(CCCCCC)CCCC)=C(C)S7)=C8)=C8C9=NSN=C95)S4)S3)=N%10)=C%10S2)S1
269	PTzNTz-EHHD	S108	8.80 	8.50 	0.840 	15.600 	0.670 	91.8 	47.0 	2.00 	1413	5.40 	3.46 	1.58 	CC1=CC(CC(CCCC)CC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=C(CC(CCCCCC)CCCCCCCC)C=C(C5=CC(C6=NSN=C6C(C7=CC(CC(CCCCCC)CCCCCCCC)=C(C)S7)=C8)=C8C9=NSN=C95)S4)S3)=N%10)=C%10S2)S1
270	PTzNTz-BOBO	S108	8.80 	8.50 	0.840 	16.600 	0.630 	113.2 	51.6 	2.20 	1413	5.40 	3.46 	1.57 	CC1=CC(CC(CCCC)CCCCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CCCCCC)C=C(C4=C(CC(CCCCCC)CCCC)C=C(C5=CC(C6=NSN=C6C(C7=CC(CC(CCCCCC)CCCC)=C(C)S7)=C8)=C8C9=NSN=C95)S4)S3)=N%10)=C%10S2)S1
271	PTzNTz-BOHD	S108	5.20 	4.80 	0.840 	9.800 	0.630 	59.2 	29.1 	2.20 	1525	5.41 	3.44 	1.57 	CC1=CC(CC(CCCC)CCCCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CCCCCC)C=C(C4=C(CC(CCCCCC)CCCCCCCC)C=C(C5=CC(C6=NSN=C6C(C7=CC(CC(CCCCCC)CCCCCCCC)=C(C)S7)=C8)=C8C9=NSN=C95)S4)S3)=N%10)=C%10S2)S1
272	PF-C12NT	S109	6.51 	6.51 	0.870 	12.190 	0.614 	69.3 	23.4 	2.95 	1325	5.47 	3.79 	1.68 	CC1=CC=C(C(C=CC(C2=CC(CCCCCCCCCCCC)=C(C3=CC=C(C4=CC(C5=NSN=C5C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)=C8)=C8C9=NSN=C94)S3)S2)=C%10)=C%10C%11(CCCCCCCC)CCCCCCCC)C%11=C1
273	PAF-C12NT	S109	3.64 	3.64 	0.690 	8.450 	0.625 	59.9 	16.6 	3.60 	1505	5.40 	3.85 	1.55 	CC1=CC=C(C(C=CC(C2=CC(CCCCCCCCCCCC)=C(C3=CC=C(C4=CC(C5=NSN=C5C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)=C8)=C8C9=NSN=C94)S3)S2)=C%10)=C%10/C%11=C(CC(CCCCCCCC)CCCCCC)/CCCCCCCCCCCC)C%11=C1
274	PCz-C12NT	S109	4.85 	4.85 	0.760 	11.310 	0.564 	84.3 	21.6 	3.89 	1340	5.35 	3.72 	1.63 	CC1=CC=C(C(C=CC(C2=CC(CCCCCCCCCCCC)=C(C3=CC=C(C4=CC(C5=NSN=C5C(C6=CC=C(C7=C(CCCCCCCCCCCC)C=C(C)S7)S6)=C8)=C8C9=NSN=C94)S3)S2)=C%10)=C%10N%11C(CCCCCCCC)CCCCCCCC)C%11=C1
275	PBDT-C12NT	S109	5.00 	5.00 	0.680 	10.740 	0.685 	69.4 	22.3 	3.10 	1849	5.19 	3.68 	1.51 	CC1=CC(CCCCCCCCCCCC)=C(S1)C(S2)=CC=C2C3=CC(C4=NSN=C45)=C(C6=NSN=C63)C=C5C7=CC=C(S7)C(S8)=C(CCCCCCCCCCCC)C=C8C9=CC(C(C%10=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%10)=C(SC(C)=C%11)C%11=C%12C%13=CC(CCCCCCCCCC)=C(CCCCCCCCCC)S%13)=C%12S9
276	PN1	S110	2.78 	2.78 	0.850 	8.650 	0.378 	32.7 	14.2 	2.30 	1257	5.39 	3.75 	1.64 	CC1=CC2=C(C(C3=CC(OCC(CCCC)CC)=CC=C3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC6=C(C=C(C7=CC(CC(CC)CCCC)=C(C)S7)C8=NSN=C86)C9=NSN=C59)S4)S%10)C%10=C2C%11=CC(OCC(CC)CCCC)=CC=C%11)S1
277	PIDT-EHNT	S111	1.49 	1.34 	0.860 	4.330 	0.400 	42.1 	19.4 	2.17 	1677	5.48 	3.79 	1.69 	CC1=CC(C(C2=CC=C(CCCCCCCC)C=C2)(C3=CC=C(CCCCCCCC)C=C3)C4=CC(C(SC(C5=C(C[C@H](CCCC)CC)C=C(C6=CC7=C(C=C(C8=CC(C[C@H](CC)CCCC)=C(C)S8)C9=NSN=C97)C%10=NSN=C6%10)S5)=C%11)=C%11C%12(C%13=CC=C(CCCCCCCC)C=C%13)C%14=CC=C(CCCCCCCC)C=C%14)=C%12C=C4%15)=C%15S1
278	PIDT-DTNT	S111	2.97 	2.52 	0.800 	8.260 	0.450 	35.6 	17.6 	2.02 	1621	5.48 	3.83 	1.65 	CC1=CC(C(C2=CC=C(CCCCCCCC)C=C2)(C3=CC=C(CCCCCCCC)C=C3)C4=CC(C(SC(C5=C(CCCCCC)C=C(C6=CC7=C(C=C(C8=CC(CCCCCC)=C(C)S8)C9=NSN=C97)C%10=NSN=C6%10)S5)=C%11)=C%11C%12(C%13=CC=C(CCCCCCCC)C=C%13)C%14=CC=C(CCCCCCCC)C=C%14)=C%12C=C4%15)=C%15S1
279	PIDT-C12NT	S111	5.05 	4.88 	0.900 	10.210 	0.550 	43.6 	17.5 	2.49 	1953	5.52 	3.88 	1.64 	CC1=CC(C(C2=CC=C(CCCCCCCC)C=C2)(C3=CC=C(CCCCCCCC)C=C3)C4=CC(C(SC(C5=CC(CCCCCCCCCCCC)=C(C6=CC=C(C7=CC8=C(C=C(C9=CC=C(C%10=C(CCCCCCCCCCCC)C=C(C)S%10)S9)C%11=NSN=C%118)C%12=NSN=C7%12)S6)S5)=C%13)=C%13C%14(C%15=CC=C(CCCCCCCC)C=C%15)C%16=CC=C(CCCCCCCC)C=C%16)=C%14C=C4%17)=C%17S1
280	NT812	S112	10.33 	10.18 	0.720 	19.090 	0.729 	118.9 	56.6 	2.10 	1135	5.29 	3.40 	1.40 	CC1=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C2=CC(SC(C3=C(CC(CCCCCCCCCC)CCCCCCCC)C=C(C4=CC5=C(C=C(C)C6=NSN=C65)C7=NSN=C47)S3)=C8)=C8S2)S1
281	NT1014	S112	3.03 	2.93 	0.770 	7.250 	0.529 	165.5 	59.1 	2.80 	1247	5.29 	3.40 	1.40 	CC1=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C(C2=CC(SC(C3=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C4=CC5=C(C=C(C)C6=NSN=C65)C7=NSN=C47)S3)=C8)=C8S2)S1
282	Pƒ¿NDTDTNT	S113	8.01 	8.01 	0.800 	15.550 	0.644 	86.4 	67.3 	1.30 	1459	5.40 	3.64 	1.58 	CC(S1)=C(CC(CCCCCCCC)CCCCCC)C=C1C(C2=NSN=C23)=CC4=C3C=C(C5=CC(C[C@H](CCCCCC)CCCCCCCC)=C(C6=CC7=C(C(C(CCCCCCCCCCCC)=CC8=C9SC(C)=C8)=C9C(CCCCCCCCCCCC)=C7)S6)S5)C%10=NSN=C%104
283	PƒÀNDTDTNT	S113	3.60 	3.60 	0.800 	8.410 	0.535 	60.5 	28.3 	2.10 	1459	5.46 	3.64 	1.65 	CC(S1)=C(CC(CCCCCCCC)CCCCCC)C=C1C(C2=NSN=C23)=CC4=C3C=C(C5=CC(C[C@H](CCCCCC)CCCCCCCC)=C(C6=CC7=C(C=C(CCCCCCCCCCCC)C8=C7C(CCCCCCCCCCCC)=CC9=C8C=C(C)S9)S6)S5)C%10=NSN=C%104
284	poly(CR-TPA)	S114	2.15 	2.15 	0.790 	6.870 	0.400 	15.6 	9.8 	1.60 	611	5.55 	2.60 	1.80 	CC1=CC=C(N(C2=CC=C(C3=CC(C4=NSN=C4C(C)=C5)=C5C6=NSN=C63)C=C2)C7=CC=C(CCCCCCCC)C=C7)C=C1
285	poly(NTD-TPA)	S114	1.52 	1.52 	0.760 	6.020 	0.330 	8.2 	5.9 	1.50 	627	5.40 	3.37 	2.03 	CC1=CC=C(N(C2=CC=C(C3=CC(C(C=CC=C4)=C4C(C)=C5)=C5C6=C3C=CC=C6)C=C2)C7=CC=C(CCCCCCCC)C=C7)C=C1
286	BTT-TP	S115	0.35 	0.35 	0.993 	0.764 	0.468 	16.4 	10.3 	1.59 	1372	5.60 	3.85 	1.75 	CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=CN=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1
287	BTT-FT	S115	1.01 	1.01 	0.919 	2.040 	0.540 	24.8 	20.0 	1.24 	1407	5.52 	3.74 	1.78 	CC1=CC2=C(C(SC(C3=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C4=C(F)C(F)=C(C5=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)=C7)=C7C8=C2SC(C(CCCCCCCC)CCCCCCCC)=C8)S1
288	BTT-NTz	S115	2.73 	2.73 	0.755 	5.980 	0.605 	62.7 	39.9 	1.57 	2091	5.41 	3.73 	1.68 	CC1=C(CC(CCCCCCCCCCCC)CCCCCCCCCC)C=C(S1)C(C2=NSN=C23)=CC4=C3C=C(C5=NSN=C54)C(S6)=CC(CC(CCCCCCCCCC)CCCCCCCCCCCC)=C6C7=CC(CCCCCCCCCCCC)=C(S7)C8=CC(C9=C%10SC(C(CCCCCCCC)CCCCCCCC)=C9)=C(S8)C%11=C%10C=C(C%12=C(CCCCCCCCCCCC)C=C(C)S%12)S%11
289	PDCBT	S116	7.20 	7.00 	0.910 	11.000 	0.720 	40.2 	24.8 	1.62 	782	4.90 	3.00 	1.90 	CC1=CC=C(C2=C(C(OCC(CCCCCC)CCCC)=O)C=C(C3=CC(C(OCC(CCCC)CCCCCC)=O)=C(C4=CC=C(C)S4)S3)S2)S1
290	rr-PTB7-Th	S117	7.04 	6.96 	0.780 	15.350 	0.583 	89.1 	35.8 	2.49 	1807	5.20 	3.68 	1.61 	CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C7C(C(F)=C(C(OCC(CCCC)CC)=O)S7)=C(C8=CC9=C(C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C)S%11)C%11=C9C%12=CC=C(CC(CCCC)CC)S%12)S8)S6)S%13)C%13=C4C%14=CC=C(CC(CC)CCCC)S%14)S3)S1
291	rr-PTBS	S117	10.31 	10.19 	0.820 	19.630 	0.633 	103.0 	40.7 	2.53 	1871	5.22 	3.84 	1.58 	CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C7C(C(F)=C(C(OCC(CCCC)CC)=O)S7)=C(C8=CC9=C(C(C%10=CC=C(SCC(CCCC)CC)S%10)=C(C=C(C)S%11)C%11=C9C%12=CC=C(SCC(CCCC)CC)S%12)S8)S6)S%13)C%13=C4C%14=CC=C(CC(CC)CCCC)S%14)S3)S1
292	P3TI	S118	6.30 	6.30 	0.700 	13.100 	0.690 	211.7 	73.0 	2.90 	1209	5.82 	3.83 	1.50 	CC1=CC(CCCCCCCC)=C(C2=CC=C(C3=C(CCCCCCCC)C=C(C4=CC=C(/C(C(N5CC(CCCCCCCC)CCCCCC)=O)=C6C(N(CC(CCCCCCCC)CCCCCC)C7=C\6C=CC(C)=C7)=O)C5=C4)S3)S2)S1
293	O-PBDT	S119	1.56 	1.56 	0.830 	4.180 	0.450 	32.3 	10.9 	2.96 	474	5.31 	2.94 	2.21 	CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C)S3)C3=C2OCC(CCCC)CC)S1
294	SO-PBDT	S119	1.73 	1.73 	0.910 	4.400 	0.430 	27.7 	9.3 	2.98 	950	5.36 	3.11 	2.03 	CC(S1)=CC2=C1C(SCC(CCCC)CC)=C(C=C(C3=CC4=C(C(OCC(CC)CCCC)=C(C=C(C)S5)C5=C4OCC(CCCC)CC)S3)S6)C6=C2SCC(CCCC)CC
295	S-PBDT	S119	4.00 	4.00 	0.990 	7.660 	0.530 	61.3 	16.1 	3.81 	506	5.41 	3.26 	2.07 	CC1=CC2=C(C(SCC(CCCC)CC)=C(C=C(C)S3)C3=C2SCC(CCCC)CC)S1
296	PBDTT	S120	6.12 	6.12 	0.930 	11.950 	0.550 	49.7 	18.7 	2.70 	606	5.44 	3.46 	2.13 	CC1=CC2=C(C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C)S4)C4=C2C5=CC=C(CC(CCCC)CC)S5)S1
